Using license file /spack/apps/linux-centos7-x86_64/gcc-8.3.0/gurobi-9.0.1/license/gurobi.lic
Set parameter TokenServer to value hpc-licenses.hpcc.usc.edu
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.1 build v9.0.1rc0 (linux64)
Optimize a model with 87627 rows, 24380 columns and 324759 nonzeros
Model fingerprint: 0xab547de9
Model has 500 quadratic objective terms
Variable types: 16548 continuous, 7832 integer (7832 binary)
Coefficient statistics:
  Matrix range     [2e-03, 3e+02]
  Objective range  [9e-03, 1e+00]
  QObjective range [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+02]
Presolve removed 6884 rows and 6285 columns
Presolve time: 1.36s
Presolved: 80743 rows, 18095 columns, 252449 nonzeros
Presolved model has 500 quadratic objective terms
Variable types: 16354 continuous, 1741 integer (1741 binary)
Found heuristic solution: objective 104.5753469

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  380600    1.5355067e+03   0.000000e+00   2.322295e+01    420s
  382287    1.5387265e+03   0.000000e+00   2.791426e+01    425s
  384017    1.5419463e+03   0.000000e+00   1.985001e+01    430s
  386171    1.5451662e+03   0.000000e+00   2.005243e+01    435s
  388332    1.5488814e+03   0.000000e+00   1.999969e+01    440s
  390756    1.5530919e+03   0.000000e+00   1.992151e+01    445s
  393411    1.5590362e+03   0.000000e+00   2.329636e+01    450s
  396243    1.5632468e+03   0.000000e+00   1.881130e+01    455s
  399075    1.5711726e+03   0.000000e+00   2.361956e+01    460s
  401907    1.5838043e+03   0.000000e+00   2.047873e+01    465s
  405093    1.5991604e+03   0.000000e+00   1.748388e+01    470s
  407748    1.6090677e+03   0.000000e+00   1.568815e+01    475s
  410365    1.6112998e+03   0.000000e+00   1.545465e+01    480s
  412439    1.6113018e+03   0.000000e+00   1.956484e+01    485s
  414761    1.6125441e+03   0.000000e+00   1.633681e+01    490s
  417187    1.6202221e+03   0.000000e+00   1.361038e+01    495s
  419784    1.6254204e+03   0.000000e+00   1.544392e+01    500s
  422083    1.6303711e+03   0.000000e+00   1.442504e+01    505s
  424774    1.6345847e+03   0.000000e+00   1.400906e+01    510s
  427223    1.6415201e+03   0.000000e+00   1.368473e+01    515s
  429475    1.6477153e+03   0.000000e+00   1.204723e+01    520s
  432042    1.6479778e+03   0.000000e+00   1.647073e+01    525s
  434874    1.6503462e+03   0.000000e+00   2.861299e+01    530s
  437883    1.6557952e+03   0.000000e+00   1.395759e+01    535s
  440715    1.6617395e+03   0.000000e+00   1.900143e+01    540s
  443901    1.6718943e+03   0.000000e+00   2.595728e+01    545s
  447087    1.6852691e+03   0.000000e+00   4.625754e+01    550s
  450096    1.6934427e+03   0.000000e+00   1.096353e+01    555s
  452928    1.6979011e+03   0.000000e+00   1.262189e+01    560s
  455753    1.7023361e+03   0.000000e+00   1.324365e+01    565s
